USER_ID,ITEM_ID,TIMESTAMP,EVENT_TYPE
user_001,coffee,1704067200,view
user_001,tea,1704067200,view
user_001,milk,1704067200,view
user_002,bread,1704153600,view
user_002,cheese,1704153600,view
user_003,apple,1704240000,view
user_003,banana,1704240000,view
user_003,orange,1704240000,view
user_003,grape,1704240000,view
user_004,chicken,1704326400,view
user_004,beef,1704326400,view
user_005,rice,1704412800,view
user_005,pasta,1704412800,view
user_005,noodles,1704412800,view
user_006,tomato,1704499200,view
user_006,onion,1704499200,view
user_007,sugar,1704585600,view
user_007,salt,1704585600,view
user_007,pepper,1704585600,view
user_008,oil,1704672000,view
user_008,butter,1704672000,view
user_009,egg,1704758400,view
user_009,flour,1704758400,view
user_009,water,1704758400,view
user_010,juice,1704844800,view
user_010,soda,1704844800,view
user_011,beer,1704931200,view
user_011,wine,1704931200,view
user_011,chocolate,1704931200,view
user_012,candy,1705017600,view
user_012,cookie,1705017600,view
user_013,cake,1705104000,view
user_013,pizza,1705104000,view
user_013,burger,1705104000,view
user_013,sandwich,1705104000,view
user_014,salad,1705190400,view
user_014,soup,1705190400,view
user_015,cereal,1705276800,view
user_015,yogurt,1705276800,view
user_015,honey,1705276800,view
user_016,jam,1705363200,view
user_016,sauce,1705363200,view
user_017,spice,1705449600,view
user_017,herb,1705449600,view
user_017,lemon,1705449600,view
user_018,strawberry,1705536000,view
user_018,blueberry,1705536000,view
user_019,pineapple,1705622400,view
user_019,mango,1705622400,view
user_019,avocado,1705622400,view
user_020,spinach,1705708800,view
user_020,broccoli,1705708800,view
user_021,corn,1705795200,view
user_021,bean,1705795200,view
user_021,pea,1705795200,view
user_022,mushroom,1705881600,view
user_022,garlic,1705881600,view
user_023,ginger,1705968000,view
user_023,mint,1705968000,view
user_023,shampoo,1705968000,view
user_024,soap,1706054400,view
user_024,toothpaste,1706054400,view
user_025,tissue,1706140800,view
user_025,towel,1706140800,view
user_025,detergent,1706140800,view
user_026,bleach,1706227200,view
user_026,cleaner,1706227200,view
user_027,brush,1706313600,view
user_027,sponge,1706313600,view
user_027,plate,1706313600,view
user_028,cup,1706400000,view
user_028,bowl,1706400000,view
user_029,fork,1706486400,view
user_029,knife,1706486400,view
user_029,spoon,1706486400,view
user_030,glass,1706572800,view
user_030,bottle,1706572800,view
user_001,bag,1706659200,view
user_001,box,1706659200,view
user_001,can,1706659200,view
user_002,jar,1706745600,view
user_002,container,1706745600,view
user_003,fish,1706832000,view
user_003,potato,1706832000,view
user_003,carrot,1706832000,view
user_004,coffee,1706918400,view
user_004,tea,1706918400,view
user_005,milk,1707004800,view
user_005,bread,1707004800,view
user_005,cheese,1707004800,view
user_006,apple,1707091200,view
user_006,banana,1707091200,view
user_007,orange,1707177600,view
